date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:50:59	251/251	U--MCZ	200	updated ('OK')	text/plain	date:Sun,%2014%20Aug%202016%2023:50:59%20GMT	http://www.jtbnow.com/robots.txt		(from )
19:51:00	78370/78370	U--M-Z	200	updated ('OK')	text/html	etag:W/%22c57ceffba0cb02b2115e13d4dba4bc4b%22	http://www.jtbnow.com/	copy/copy/www.jtbnow.com/index.html	(from )
19:51:00	6382/6382	U-----	200	untouched ('')	image/png	etag:W/%22739b90613d89714a681f18f6300b0883%22	http://www.jtbnow.com/favicon.ico	copy/copy/www.jtbnow.com/favicon.png	(from http://www.jtbnow.com/)
19:51:00	728/728	U-----	200	untouched ('')	application/rss+xml	etag:W/%228d2393e847c5b144f897ee74d5e9c9be%22	http://www.jtbnow.com/welcome?format=RSS	copy/copy/www.jtbnow.com/welcomececb	(from http://www.jtbnow.com/)
19:51:00	41493/41493	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%222cc8cb2602cc758870c2ddd7441349bf%22	http://www.jtbnow.com/jtb-gives-1	copy/copy/www.jtbnow.com/jtb-gives-1.1.delayed	(from http://www.jtbnow.com/)
19:51:01	45960/45960	U--M-Z	200	updated ('OK')	text/html	etag:W/%22f5f7876d7e98c1805979728a1917d51e%22	http://www.jtbnow.com/jtb-arts/	copy/copy/www.jtbnow.com/jtb-arts/index.html	(from http://www.jtbnow.com/)
19:51:01	47214/47214	U--M-Z	200	updated ('OK')	text/html	etag:W/%22802210813205496fc79d2ea3868910f4%22	http://www.jtbnow.com/jtb-photos/	copy/copy/www.jtbnow.com/jtb-photos/index.html	(from http://www.jtbnow.com/)
19:51:01	48187/48187	U--M-Z	200	updated ('OK')	text/html	etag:W/%22659acf8bbece35184515dd897a7038cc%22	http://www.jtbnow.com/jtb-gives/	copy/copy/www.jtbnow.com/jtb-gives/index.html	(from http://www.jtbnow.com/)
19:51:02	45960/45960	U--M-Z	200	updated ('OK')	text/html	etag:W/%22b6612f5abc82df42f59b6c9d5fcc2be3%22	http://www.jtbnow.com/jtb-arts	copy/copy/www.jtbnow.com/jtb-arts.html	(from http://www.jtbnow.com/)
19:51:02	55215/55215	U-----	200	untouched ('OK')	image/svg+xml	etag:%2213c4d49d2eaa27d467a1c7144a9a5690%22	http://www.jtbnow.com/universal/svg/social-accounts.svg	copy/copy/www.jtbnow.com/universal/svg/social-accounts.svg	(from http://www.jtbnow.com/)
19:51:02	41493/41493	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%222cc8cb2602cc758870c2ddd7441349bf%22	http://www.jtbnow.com/%22https://player.vimeo.com/video/119418561?wmode=opaque&amp;api=1\%22	copy/copy/www.jtbnow.com/_https_/player.vimeo.com/video/119418561.2f0ec.delayed	(from http://www.jtbnow.com/)
19:51:02	46271/46271	U--M-Z	200	updated ('OK')	text/html	etag:W/%2247d50e8730d1ad36fb2a69ec4c0a6154%22	http://www.jtbnow.com/subscribe-now	copy/copy/www.jtbnow.com/subscribe-now.html	(from http://www.jtbnow.com/)
19:51:03	290467/290467	U--M-Z	200	updated ('OK')	text/html	etag:W/%2291f0ae75ffeda5d5907b57aa9f59ecba%22	http://www.jtbnow.com/art-photo-portfolio	copy/copy/www.jtbnow.com/art-photo-portfolio.html	(from http://www.jtbnow.com/)
19:51:03	41493/41493	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%222cc8cb2602cc758870c2ddd7441349bf%22	http://www.jtbnow.com/%22https://player.vimeo.com/video/119418561?wmode=opaque&api=1%22	copy/copy/www.jtbnow.com/_https_/player.vimeo.com/video/119418561.3fbba.delayed	(from http://www.jtbnow.com/)
19:51:04	47214/47214	U--M-Z	200	updated ('OK')	text/html	etag:W/%2276ed7bac9e8166b1e40577a187de2e31%22	http://www.jtbnow.com/jtb-photos	copy/copy/www.jtbnow.com/jtb-photos.html	(from http://www.jtbnow.com/)
19:51:05	46271/46271	U--M-Z	200	updated ('OK')	text/html	etag:W/%22b90864b2cfaf02a020b98d9db524d40d%22	http://www.jtbnow.com/subscribe-now/	copy/copy/www.jtbnow.com/subscribe-now/index.html	(from http://www.jtbnow.com/subscribe-now)
19:51:06	290467/290467	U--M-Z	200	updated ('OK')	text/html	etag:W/%22da774d7f001a91e1766f3936a651d8bb%22	http://www.jtbnow.com/art-photo-portfolio/	copy/copy/www.jtbnow.com/art-photo-portfolio/index.html	(from http://www.jtbnow.com/art-photo-portfolio)
19:51:07	49059/49059	U--M-Z	200	updated ('OK')	text/html	etag:W/%22b13d6f4ee38ca0654e7c84a0af480aa1%22	http://www.jtbnow.com/pricing-jtbphotos	copy/copy/www.jtbnow.com/pricing-jtbphotos.html	(from http://www.jtbnow.com/jtb-photos/)
19:51:07	49059/49059	U--M-Z	200	updated ('OK')	text/html	etag:W/%22ebb5b86b8e8350d62cb154eb61be173e%22	http://www.jtbnow.com/pricing-jtbphotos/	copy/copy/www.jtbnow.com/pricing-jtbphotos/index.html	(from http://www.jtbnow.com/pricing-jtbphotos)
